iter	Logloss	Accuracy	Precision
438	0.340812007	0.8608593038	0.8574515076
439	0.3407379793	0.8608891034	0.8574343219
440	0.3406531013	0.8609606227	0.857523494
441	0.3405598047	0.8609904224	0.8574634029
442	0.3404966465	0.861026182	0.8575251398
443	0.3404136988	0.861121541	0.8576039742
444	0.3403636674	0.8611632606	0.8576674307
445	0.3402665004	0.8612347798	0.8577308454
446	0.3401694521	0.8612347798	0.8577995415
447	0.3400270427	0.8612645795	0.8578424312
448	0.3399511612	0.8613301388	0.8579041492
449	0.3397897681	0.8614016581	0.8579417942
450	0.3396957086	0.8614612574	0.8580189868
451	0.3396164497	0.8615268167	0.8580291358
452	0.3395391761	0.8615446965	0.8580944037
453	0.3394779549	0.8615506565	0.8580789171
454	0.3393702807	0.8616400555	0.8581732212
455	0.339329703	0.861693695	0.8582315244
456	0.3392780811	0.8617532944	0.85830873
457	0.3392090691	0.8617771341	0.8583155318
458	0.3390893376	0.8619499723	0.8585196654
459	0.3389913526	0.8619678521	0.8585936187
460	0.3388656587	0.8620393713	0.8586398118
461	0.3387795764	0.8620870508	0.8586706035
462	0.3386890748	0.8621883698	0.8587597067
463	0.3386296184	0.8622002897	0.8587975466
464	0.3385179095	0.86216453	0.8587443139
465	0.3384365266	0.8622122095	0.858766487
466	0.3383663515	0.8622360493	0.8587560452
467	0.3382557769	0.8623194884	0.8588228235
468	0.3381784207	0.8623314083	0.8588003792
469	0.3380851084	0.8623910076	0.8588948221
470	0.3379742912	0.8625936455	0.8590815825
471	0.33790616	0.8625757657	0.8590420426
472	0.3378025476	0.8626770846	0.8591483388
473	0.3376974928	0.8625996055	0.8590832733
474	0.3375934723	0.8625817256	0.8590092738
475	0.3375136506	0.8626532449	0.8591157238
476	0.3374375363	0.8627724436	0.8592270868
477	0.3373621545	0.8627426439	0.8592100211
478	0.3372692258	0.8627784036	0.8593063723
479	0.3371713515	0.862832043	0.859364687
480	0.3370929303	0.8628856824	0.8593884996
481	0.3370123785	0.8629035623	0.8593935612
482	0.3369119268	0.8629810414	0.8594413649
483	0.3368094293	0.8629452818	0.8594657515
